Portal,ID Externo,URL,Operacion,Tipo Inmueble,Titulo,Descripcion,Precio,Moneda,Mantenimiento,Calle y Numero,Colonia,Delegacion/Municipio,Ciudad,Estado,Pais,Codigo Postal,Recamaras,Banos,Medios Banos,Estacionamientos,Terreno m2,Construccion m2,Niveles,Antiguedad,Anos Construccion,Num Fotos,Video URL,Tour 360 URL,Amenidades,Servicios,Extras,Exteriores,Ambientes Extra,Balcon,Elevador,Bodega,Estado Conservacion,Codigo Interno,Primera Vista
Inmuebles24,146481558,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-origina-pedregal-146481558.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=27,venta,departamento,Departamento en Venta en Origina Pedregal,,15500000.0,MXN,,PERIFERICO SUR,19 de Mayo,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,1,1,1,2,89.0,89.0,,,,5,,,null,"[""seguridad_privada""]",null,null,null,,,,,,2026-03-30T07:13:45
Inmuebles24,147508537,https://www.inmuebles24.com/propiedades/clasificado/veclapin-be-grand-lomas-departamento-de-gran-formato-con-147508537.html?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=1&n_pos=18,venta,departamento,Be Grand Lomas – Departamento de Gran Formato con Terraza y Vista Panorámica,,12900000.0,MXN,6500.0,Be Grand Lomas,Santa Fe,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,3,4,,3,247.0,247.0,,10,10,9,,,"[""alberca"", ""jacuzzi"", ""area_juegos""]",null,"[""amueblado"", ""escuela_cercana"", ""duplex"", ""closet""]","[""terraza""]","[""cocina_integral""]",,Si,,excelente,52,2026-03-30T07:13:45
Inmuebles24,144334419,https://www.inmuebles24.com/propiedades/clasificado/veclcain-venta-casa-en-prado-coapa-144334419.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=6,venta,casa,Venta Casa en Prado Coapa,,11990000.0,MXN,,Jilotepec,Prado Coapa,Tlalpan,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,1,2,200.0,370.0,2,44,44,8,,,"[""area_lavado""]",null,"[""escuela_cercana""]",null,"[""cocina_integral""]",,,,bueno,52,2026-03-30T07:13:45
Inmuebles24,148815427,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-col.-tetelpan.-alvaro-obregon.-ciudad-148815427.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=20,venta,casa,"Casa en Venta, Col. Tetelpan. Álvaro Obregón. Ciudad México",,11200000.0,MXN,3850.0,2a. Cerrada Zampapano 12,Tizampampano,Alvaro Obregón,Ciudad de México,Ciudad De Mexico,Mexico,,3,3,1,3,409.0,351.0,2,19,19,7,,,"[""area_lavado""]",null,"[""closet"", ""chimenea"", ""escuela_cercana""]","[""terraza""]","[""cocina_integral""]",,,,bueno,63,2026-03-30T07:13:45
Inmuebles24,146692807,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-chiapas-13:-departamentos-en-preventa-col.-roma-norte-146692807.html?n_src=Listado&n_pg=1&n_pos=5,venta,departamento,"Chiapas 13: Departamentos en Preventa, Col. Roma Norte",,10500000.0,MXN,,"C. de Chiapas 13 Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX",Roma Norte,Cuauhtémoc,,Ciudad De Mexico,México,,3,,,,140.0,,,,,10,,,"[""gimnasio"", ""terraza""]","[""seguridad_privada""]",null,"[""terraza""]",null,,,,,24,2026-03-30T07:13:45
Inmuebles24,147640980,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-polanco-147640980.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=12,venta,departamento,Departamento en Venta en Polanco,,8900000.0,MXN,4000.0,Homero 1629,Polanco,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,,1,150.0,150.0,,59,59,7,,,null,"[""seguridad_privada""]",null,null,"[""cocina_integral""]",,Si,,,4769,2026-03-30T07:13:45
Inmuebles24,148659431,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-colima-410:-nuevo-lanzamiento-en-condesa-148659431.html?n_src=Listado&n_pg=1&n_pos=1,venta,,Colima 410: Nuevo Lanzamiento en Condesa,,8200000.0,MXN,,Colima 410,Condesa,Cuauhtémoc,,Ciudad De Mexico,México,,1,,,,75.0,,,,,5,,,"[""gimnasio"", ""terraza""]",null,null,"[""terraza""]",null,,,,,24,2026-03-30T07:13:45
Inmuebles24,148011564,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-venta-en-reforma-iztaccihuatl-sur-148011564.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=13,venta,casa,Casa en Venta en Reforma Iztaccihuatl Sur,,6890000.0,MXN,,Playa Cortes 570,Reforma Iztaccihuatl Sur,Iztacalco,Ciudad de México,Ciudad De Mexico,Mexico,,4,2,1,2,138.0,196.0,,30,30,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,,,excelente,24,2026-03-30T07:13:45
Inmuebles24,145015414,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-av-universidad-col.-del-valle-145015414.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=11,venta,departamento,"Departamento en Av Universidad, Col. del Valle",,6570000.0,MXN,,San Lorenzo S/N,Del Valle Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,2,2,,2,83.0,83.0,,,,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,Si,,,5605,2026-03-30T07:13:45
Inmuebles24,148474916,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-eje-8-sur-jose-maria-rico-148474916.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=28,venta,departamento,"Departamento en Venta en Eje 8 Sur José María Rico, Benito Juárez, Cdmx.",,5700000.0,MXN,4000.0,Dirección no informada,Del Valle Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,1,1,,1,64.0,64.0,,1,1,9,,,"[""alberca""]",null,null,null,null,,,,,602555,2026-03-30T07:13:45
Inmuebles24,149225254,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-la-colonia-nonoalco-149225254.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=4,venta,departamento,Departamento en Venta en La Colonia Nonoalco,,5027997.0,MXN,,Murillo 44,Santa María Nonoalco,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,2,2,,1,70.0,70.0,,,,7,,,null,null,null,"[""terraza""]","[""cocina_integral""]",,Si,,excelente,52,2026-03-30T07:13:45
Inmuebles24,143662600,https://www.inmuebles24.com/propiedades/clasificado/veclccin-venta-casa-en-zacapa-col.-barrio-18-alcaldia-143662600.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=23,venta,casa,"Venta Casa en Zacapa, Col. Barrio 18, Alcaldía Xochimilco, Cdmx",,4950000.0,MXN,,Barrio 18 Zacapa,Barrio 18,Xochimilco,,Ciudad De Mexico,México,,3,2,,2,197.0,200.0,,10,10,7,,,null,"[""seguridad_privada""]","[""escuela_cercana"", ""frente_parque""]",null,"[""cocina_integral""]",,,,excelente,608016,2026-03-30T07:13:45
Inmuebles24,147515798,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-nuevo-en-venta-en-ruben-dario-abilia-147515798.html?n_src=Listado&n_pills=Gimnasio&n_pg=1&n_pos=25,venta,departamento,Departamento Nuevo en Venta en Ruben Dario Abilia,,4400000.0,USD,,Departamento Nuevo en Venta en Ruben Dario Abilia,Polanco,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,3,1,4,390.0,390.0,,,,7,,,"[""gimnasio""]",null,null,null,null,,,,,1192,2026-03-30T07:13:45
Inmuebles24,145571714,https://www.inmuebles24.com/propiedades/desarrollo/ememvein-gabino-barreda-89:-ultimos-departamentos-en-preventa-145571714.html?n_src=Listado&n_pg=1&n_pos=3,venta,departamento,"Gabino Barreda 89: Últimos Departamentos en Preventa, Col. San Rafael",,4250000.0,MXN,,"GABINO BARREDA 89 San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX",San Rafael,Cuauhtémoc,,Ciudad De Mexico,México,,1,,,,72.0,,,,,10,,,"[""gimnasio"", ""terraza""]",null,null,"[""terraza""]",null,,,,,24,2026-03-30T07:13:45
Inmuebles24,149339525,https://www.inmuebles24.com/propiedades/clasificado/veclapin-vive-la-exclusividad-frente-al-bosque-de-chapultepec-149339525.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=22,venta,departamento,Vive La Exclusividad Frente Al Bosque de Chapultepec,"Vive la exclusividad frente al Bosque de ChapultepecUbicada en una de las zonas más privilegiadas de la ciudad, esta propiedad ofrece una experiencia residencial verdaderamente excepcional, con maravillosas vistas panorámicas al Bosque y al icónico Castillo de Chapultepec.Con techos altos que amplifican la sensación de amplitud, y elegantes acabados de lujo, la residencia destaca por sus pisos de madera y baños de mármol, logrando un equilibrio perfecto entre calidez y sofisticación.La amplia área social integra sala, comedor y un generoso estudio —con potencial para convertirse en una tercera recámara— todo enmarcado por grandes ventanales que permiten disfrutar de una vista abierta y permanente.Recámaras en suite cuentan con vestidor, destacando la principal por su impresionante walk-in closet y con jacuzzi.La cocina totalmente equipada, junto con áreas de servicio independientes.Equipada con tecnología moderna, climatización integral, insonorización y altos estándares de seguridad.El edificio complementa la experiencia con amenidades como gimnasio, vigilancia permanente y estacionamiento, además de una ubicación privilegiada que permite disfrutar a pie de lo mejor de la zona: gastronomía, boutiques de lujo, galerías y espacios culturales.Más que un departamento, es una propiedad única que combina ubicación, exclusividad y estilo de vida en un solo lugar.Codigo interno: ERSMHC7081Leer descripción completa",2500000.0,USD,11500.0,Campos Elíseos,Polanco V Sección,Polanco,Miguel Hidalgo,Ciudad De Mexico,Ciudad de México,,2,2,1,4,370.0,370.0,,22,22,7,,,null,"[""seguridad_privada""]",null,null,"[""cocina_integral""]",,Si,,,52,2026-03-30T07:13:45
Inmuebles24,149036651,https://www.inmuebles24.com/propiedades/clasificado/veclcain-casa-en-lomas-de-bezares-149036651.html?n_src=Listado&n_pills=Jard%C3%ADn+privado&n_pg=1&n_pos=9,venta,casa,Casa en Lomas de Bezares,,1900000.0,USD,,Casa en Venta en Lomas de Bezares,Lomas de Bezares,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,4,4,1,3,1200.0,500.0,,,,7,,,null,null,null,"[""terraza"", ""jardin_privado""]",null,,,,,2168,2026-03-30T07:13:45
Inmuebles24,149396446,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-departamento-remate-bancario-portales-sur-149396446.html?n_src=Listado&n_pg=1&n_pos=7,venta,departamento,"Venta Departamento Remate Bancario, Portales Sur, Benito Juarez",,1686227.0,MXN,,Calle Balboa 1005,Portales Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,2,2,,1,85.0,85.0,,20,20,8,,,null,null,null,null,null,,,,,149023,2026-03-30T07:13:45
Inmuebles24,149396468,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-la-mejor-zona-de-la-del-valle-149396468.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=14,venta,departamento,Departamento en Venta en La Mejor Zona de La del Valle Oportunida a Precio de Remate,,1676000.0,MXN,1400.0,Amores 1636,Del Valle Sur,Benito Juárez,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,1,2,110.0,110.0,,23,23,7,,,null,"[""seguridad_privada""]",null,null,"[""cocina_integral""]",,Si,,excelente,33,2026-03-30T07:13:45
Inmuebles24,149394597,https://www.inmuebles24.com/propiedades/clasificado/veclcain-super-oportunidad-remate-bancario-en-la-colonia-149394597.html?n_src=Listado&n_pg=1&n_pos=16,venta,casa,Super Oportunidad Remate Bancario en La Colonia Anzures,Local comercial en remate bancario cuentas con recursos propios o préstamo de banco directo ? Si es así es una super opción de inversión.En un lugar con gran plusvalía y área comercial.Gran opción para iniciar tu negocio contactarme,1500228.0,MXN,,Gutenberg 96,Anzures,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,1,1,,4,200.0,150.0,2,15,15,7,,,null,null,null,null,null,,,,excelente,148547,2026-03-30T07:13:45
Inmuebles24,149394050,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-remate-city-towers-polanco-ampliacion-149394050.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=10,venta,departamento,"Departamento, Remate, City Towers Polanco, Ampliacion Granada, Cdmx.",,1426545.0,MXN,1200.0,Lago Andromaco ,Ampliación Granada,Miguel Hidalgo,Ciudad de México,Ciudad De Mexico,Mexico,,3,2,1,2,130.0,130.0,,15,15,7,,,"[""alberca"", ""jacuzzi""]",null,"[""closet"", ""escuela_cercana"", ""frente_parque""]","[""terraza""]","[""cocina_integral""]",,Si,,excelente,146576,2026-03-30T07:13:45
Lamudi,019d4698-1bc9-7a21-8bb0-1df20560519b,https://www.lamudi.com.mx/detalle/41032-73-1df2056051e4-1c12-19d46e1-8bf9-7a6a,renta,local_comercial,Tienda / Local Comercial en Renta en Industrial Vallejo,"Renta de magnifica bodega, iluminada; con grandes espacios de almacenamiento industrial. Ideal para grandes tiendas de marca. Construcción de 2,551 m2 Terreno 2,010 m2 TIENE: 2 rampas hidráulicas Energía trifásica 5 lugares de estacionamiento Área de vigilancia con baño Cuarto de acceso y control de almacén Comedor y oficinas Baños con vestidores hombres y mujeres Cuarto de máquinas Zona de descarga para trailers Altura mínima de 6 m2 y máxima de 12 m2 Carga Dinámica y estática Resistencia del piso de 250 kg/cm2 5 lugares de estacionamiento Cisterna El precio de renta, es más IVA. EasyBroker ID: EB-VR3801",699000.0,MXN,,,Industrial Vallejo,Azcapotzalco,Ciudad de México,Distrito Federal,Mexico,,,,,5,2551.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019cba1b-e314-70be-bed2-948f26133bfd,https://www.lamudi.com.mx/detalle/41032-73-948f26133c46-e35d-19cba64-bf1b-7107,renta,local_comercial,Tienda / Local Comercial en Renta en Florida,"RENTA DE LOCAL EN INSURGENTES 1662 -CARACTERÍSTICAS DESTACADAS EL LOCAL TIENE EN TOTAL 400 M2 CONSTRUIDOS SE ENCUENTRA UBICADO EN INSURGENTES SUR 1662 CASI ESQUINA CON BARRANCA DEL MUERTO EXCELENTE CONECTIVIDAD FRENTA A LA ESTACIÓN DE METROBÚS JOSÉ MARÍA VELASCO DOS ACCESOS, UNO POR INSURGENTES Y OTRO POR TECOYOTITLA -ENTORNO CONSOLIDADO CON COMERCIOS, OFICINAS Y SERVICIOS -IDEAL PARA NEGOCIOS O CORPORATIVOS PRECIOS DE RENTA Y NIVELES DEL LOCAL 1)PLANTA BAJA MÁS SÓTANO -CUENTA CON PLANTA BAJA DE 107 M2 MÁS SÓTANO DE 99 M2 -UN GRAN PLUS ES EL SÓTANO QUE PUEDE APROVECHARSE COMO ÁREA ADICIONAL DE TRABAJO, BODEGA, COCINA, ALMACENAMIENTO, POTENCIAL PARA 3 LUGARES DE ESTACIONAMIENTO, ZONA DE ALMACENAMIENTO O INCLUSO PARA SANITARIOS 2)NIVEL 1 -MIDE EN TOTAL 107 M2, 93 M2 INTERIORES Y 14 M2 DE TERRAZA -CUENTA CON TERRAZA, 2 BAÑOS, 4 PRIVADOS, DONDE UNO DE ELLOS TIENE TERRAZA CON VISTA A INSURGENTES 3)NIVEL 2 -MIDE EN TOTAL 87 M2, 67 M2 INTERIORES Y 20 M2 DE TERRAZA -CUENTA CON UN BAÑO, 2 PRIVADOS Y ÁREA LIBRE CON VISTA A TECOYOTITLA",230000.0,MXN,,,Florida,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,3,400.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019d4680-dff9-77de-954d-0342deef7459,https://www.lamudi.com.mx/detalle/41032-73-342deef74a2-e042-19d46c9-9596-7827,renta,local_comercial,Tienda / Local Comercial en Renta en Chimalistac,"Local comercial 718m2 en renta en Miguel A. Quevedo . • Fácil acceso sobre Miguel A.Quevedo y Av.Insurgentes. • 11 lugares de estacionamiento al frente sobre vía pública. • Desarrollado en 500m2 en planta baja y 218m2 en mezzanine. • Altura libre de 7 m. • 2 baños. • Escaleras de acceso a mezzanine. • Zona netamente comercial, tiendas, bancos, etc. Renta : 190,000 M.N. Tenemos mas en greathomes.mx. EasyBroker ID: EB-VR3215",190000.0,MXN,,,Chimalistac,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,12,718.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019d467e-281b-770c-9fe5-9210c91a5d25,https://www.lamudi.com.mx/detalle/41032-73-9210c91a5d6e-2864-19d46c7-a02e-7755,renta,oficina,Oficina en Renta en Florida,"AMPLIA OFICINA EN RENTA EN INSURGENTES SUR EN LA COLONIA FLORIDA - Piso 4 - 360 m2 - 6 privados + 1 área abierta muy amplia - 1 sala de juntas amplia - 1 cuarto para servidores - 1 baño privado + baños entre pisos - Zona de Coffe Break - Aire Acondicionado general y de control individual por despacho. - 10 cajones de estacionamiento - Elevador a piso - CCTV y Vigilancia 24/7 - Acceso por Insurgentes y Tecoyotitla - Renta: $169,200. EasyBroker ID: EB-VR3370",169200.0,MXN,,,Florida,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,10,360.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019d467d-6682-7e87-ad58-f01fcba4af33,https://www.lamudi.com.mx/detalle/41032-73-f01fcba4af7c-66cb-19d46c6-ada1-7ed0,renta,oficina,Oficina en Renta en Florida,"OFICINA EN RENTA EN INSURGENTES SUR EN LA COLONIA FLORIDA - PISO 6 - 360 m2 - 3 privados amplios con espacio para guardar + 1 área abierta - Bodega y zonas de estantería - 1 sala de juntas amplia - 2 baños privados + baños entre pisos - Zona de Coffe Break - Aire Acondicionado general y de control individual por despacho. - 10 cajones de estacionamiento - CCTV y Vigilancia 24/7 - Acceso por Insurgentes y Tecoyotitla - Renta: $169,200. EasyBroker ID: EB-VR3366",169200.0,MXN,,,Florida,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,10,360.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019d467e-93d4-7698-8494-669f6c6e398a,https://www.lamudi.com.mx/detalle/41032-73-669f6c6e39d3-941d-19d46c7-84dd-76e1,renta,local_comercial,Tienda / Local Comercial en Renta en Arvide,"Bodega 550m2 en renta en condominio zona Mixcoac. Comunicada de fácil acceso por Alta Tensión ,Periférico y Eje vial San Antonio, atrás de Costco. • Estratégica ubicación para distribuir cualquier producto de ultima milla. • En condominio a 800m de Periférico y Alta Tensión. • Gran patio de maniobras para trailer. • Anden todo el frente de la bodega. • Arco techo NUEVO sin columnas. • Altura 11 metros. • Piso de concreto pulido. • Instalación Trifásica. • 8 Lugares de Estacionamiento al frente. • Luminosidad 95% para ahorro de energía eléctrica • Cisterna. • Estricta Vigilancia y control de acceso 24 horas. • Excelente administración del conjunto de bodegas. Renta $ 167,000 M.N mas iva Mantenimiento Incluido. Tenemos mas en greathomes.mx. EasyBroker ID: EB-VR2603",167000.0,MXN,,,Arvide,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,8,550.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019cba69-3993-736c-8b15-f54af2ce125a,https://www.lamudi.com.mx/detalle/41032-73-f54af2ce12a3-39dc-19cbab2-8b5e-73b5,renta,local_comercial,Tienda / Local Comercial en Renta en Florida,"RENTA DE PLANTA BAJA MAS SÓTANO- EN INSURGENTES SUR 1662 -EL SÓTANO 99 M2 INTERIORES -PLANTA BAJA DE 107 M2 INTERIORES -EN TOTAL DE AMBOS SON 206 M2 -TIENE UN GRAN PLUS QUE SE RENTE CON EL SÓTANO, YA QUE ES UN ÁREA ADICIONAL QUE PUEDE APROVECHARSE COMO BODEGA, COCINA, LUGARES DE ESTACIONAMIENTO, ZONA DE ALMACENAMIENTO O INCLUSO PARA SANITARIOS -CUENTA CON UBICACIÓN PRIVILEGIADA EN INSURGENTES SUR 1662 CASI ESQUINA CON BARRANCA DEL MUERTO -EXCELENTE CONECTIVIDAD FRENTE A ESTACIÓN DE METROBÚS JOSÉ MARÍA VELASCO -DOS ACCESOS, UNO POR INSURGENTES Y OTRO POR TECOYOTITLA -ENTORNO CONSOLIDADO DE COMERCIOS, OFICINAS Y SERVICIOS -IDEAL PARA NEGOCIOS O CORPORATIVOS -PLANTA BAJA CUENTA CON UNA TERRAZA *LAS PRIMERAS FOTOS SON RENDERS DE COMO PUDIERA QUEDAR EL LOCAL, SIN EMBARGO LAS ÚLTIMAS FOTOS SON LAS REALES DE LA FACHADA E INTERIOR DEL LOCAL",160000.0,MXN,,,Florida,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,3,400.0,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
Lamudi,019d467d-e033-7765-bdcf-247065c81cd6,https://www.lamudi.com.mx/detalle/41032-73-247065c81d1f-e07c-19d46c6-be18-77ae,renta,local_comercial,Tienda / Local Comercial en Renta en Florida,"Local comercial de 140m2 en renta sobre avenida Insurgentes a pie de calle con gran frente comercial. • Amplio ,área abierta. • Muy bien comunicado sobre avenida Insurgentes Sur. • 2 Bodegas. • 2 Baños privados. • Aire Acondicionado general. • 5 cajones de estacionamiento. • Andén de carga. • Lobby con imagen corporativa en el edificio. • Acceso por Av.Insurgentes y calle Tecoyotitla . • CCTV y Vigilancia 24/7. Renta: $ 133,000 M.N. Tenemos mas en greathomes.mx. EasyBroker ID: EB-VR3382",133000.0,MXN,,,Florida,Álvaro Obregón,Ciudad de México,Distrito Federal,Mexico,,,,,5,,,,,,0,,,null,null,null,null,null,,,,,,2026-04-01T01:24:23
